species_id,species_name,common_name,noongar_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
f1,Acacia cyclops,Red-eyed Wattle,Wilyawa,bush_food,y,y,n,y,y,y,y,n,n,n,n,y,"Seeds pounded into flour and used to make damper (mereny), gum used for chewing gum.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Acacia%20cyclops.jpg
f2,Acacia acuminata,Jam Wattle,"Mungart, Mangart, Manjart, Munert, Munertor, Mungaitch, Mungat, Mungut",bush_food,y,y,y,y,n,y,y,y,n,n,n,n,"Seeds pounded into flour and used to make damper (mereny), gum edible and also mixed with water to make drink (Djilyan).",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Acacia%20acuminata.jpg
f3,Billardiera heterophylla,Bluebell Creeper,"Gumug, Kuruba, Namman",bush_food,y,y,y,y,y,y,y,y,n,n,n,n,Edible blue green fruit.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Billardiera%20heterophylla.jpg
f4,Daucus glochidiatus,Native Carrot,"Kwordiny, Mongming",bush_food,y,y,y,y,y,y,y,n,n,n,y,y,Edible carrot-like roots roasted in fire.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Daucus%20glochidiatus.jpg
f5,Malva preissiana,Australian Hollyhock,Unknown,bush_food,y,y,n,n,y,n,n,n,y,y,n,n,"Edible roots (mashed) and flowers, also used to make tea infusions.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Malva%20preissiana.jpg
f6,Pterostylis vittata,Banded Greenhood Orchid,Kararr,bush_food,y,y,y,y,y,y,n,n,y,y,n,n,Tuberous roots roasted or pounded into cakes and baked.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pterostylis%20vittata.jpg
f7,Banksia grandis,Bull Banksia,"Mungite, Poolgarla, Mangij, Mungytch",bush_food,y,y,y,y,y,y,y,n,n,n,y,y,Nectar sucked from flowers or made into a drink.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia%20grandis.jpg
f8,Santalum murrayanum,Bitter Quandong,"Kulya, Tjak, Coolyar",bush_food,n,n,y,y,n,y,y,n,n,n,n,y,Seed kernals roasted and eaten.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Santalum%20murrayanum.jpg
f9,Haemodorum spicatum,Bloodroots,"Mardja, Boon, Bhon, Matje, Bohrn, Djanbar, Koolung",bush_food,y,y,n,y,y,y,y,n,n,n,n,y,Bulbous roots eaten raw or roasted.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Haemodorum%20spicatum.jpg
f10,Dianella revoluta,Blue Flax-lily,"Mangard, Mangarel",bush_food,y,y,y,y,y,y,y,y,y,y,y,y,"Roots eaten raw or roasted in fire, fruit also edible but bitter.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Dianella%20revoluta.jpg
f11,Drosera macrantha,Bridal Rainbow,Boon,bush_food,y,y,y,y,y,y,n,n,n,n,n,y,Roots eaten raw or roasted in fire.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Drosera%20macrantha.jpg
f12,Exocarpos sparteus,Native Cherry,"Djuk,Chuck, Djiyag, Dtulya, Weelarra, Waang",bush_food,y,y,y,y,y,y,y,y,n,n,n,n,Fruit eaten when ripe and red in colour.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Exocarpos%20sparteus.jpg
f13,Typha domingensis,Bulrushes,"Yangeti, Yanget, Lirimbi, Yanjidi, Yunjeedie, Yunjid, Tanjil, Yandijut, Jetta",bush_food,y,y,y,y,y,n,n,y,y,y,y,n,"Roots pounded and pulp baked into cakes, base of stems and young flower spikes are also edible.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Typha%20domingensis.jpg
f14,Lysiana casuarinae,Casuarina Mistletoe,Nyilla,bush_food,y,y,y,y,n,n,n,y,y,n,n,n,Edible red berries with sweet sticky pulp.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Lysiana%20casuarinae.jpg
