species_id,species_name,common_name,noongar_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
m1,Banksia,Banksia,Manyret,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,Flower infusions are drunk to treat coughs and sore throats.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Banksia.jpg
m2,Eucalyptus,Eucalyptus,Balyoongar,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Crushed leaves used as antibacterial poultices.
Used in steam pits to relieve congestion.
Ground gum used as sore ointment.
Leaves eaten for dysentry relief.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Eucalyptus.jpg
m3,Haemodorum,Bloodroot,"Born, Koolung, Meen, Mardja, Matje",bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Leaf bases and roots eaten to treat dysentery.
Drink made by boiling bulbs used for lung congestion relief.
Paste made from bulbs used to treat arthritis.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Haemodorum.jpg
m4,Dianella revoluta,Blue Flax-lily,Mangard,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,Drinks made by boiling leaves and roots used to treat headaches and colds.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Dianella%20revoluta.jpg
m5,Pteridium esculentum,Bracken Fern,"Manya, Munda, Moondan-gurnang",bush_medicine,y,y,n,y,y,y,y,y,y,y,y,y,"Leaves and stems used as washes to treat sores, arthritis, and rheumatic pain.
Taken internally to treat intestinal worms.
Young leaves and stem juice used to relieve insect bites",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pteridium%20esculentum.jpg
m6,Exocarpos sparteus,Broom Ballart,"Djuk, Chuck",bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Twigs and leaves burnt as insect repellant.
Leaves crushed into poultices to relieve headaches",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Exocarpos%20sparteus.jpg
m7,Melaleuca,"Broom Brush, Honey Myrtle","Kwytyart, Yilberra",bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Strong aroma used to treat respiratory, stomach, headache, and rheumatic aches and pains.
Boiled bark used as washes to relieve sores, burns, infections.
Entire plant used to make ointments for relief of muscular aches and arthritis when mixed with animal fats.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Melaleuca.jpg
m8,Typha domingensis,Bulrush,"Yangeti, Yanget, Lirinbi, Yanjidi, Yunjeedie, Yunjid, Tanjil, Yandijut",bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,Female flowers were crushed and used as an antiseptic,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Typha%20domingensis.jpg
m9,Babingtonia camphorosmae,Camphor Myrtle,Kurren,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,"Leaf infusions used to treat eczema.
Crushed leaves used to treat headaches.
Boiled leaves used to treat stomach upset.
Flowers, leaves, and stems mixed with animal fat used for skin conditions.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Babingtonia%20camphorosmae.jpg
m10,Carpobrotus virescens,Coastal Pigface,"Bain, Kolbolgo, Kolboje, Metjarak",bush_medicine,y,y,n,y,y,y,y,y,y,y,y,y,"Crushed leaves infused to treat diarrhoea, dysentery, stomach cramps.
Infusion gargled to treat sore throats, laryngitis, bacterial and fungal infections.
Juice of leaves used like aloe vera to treat skin conditions and burns, muscular aches and rheumatism.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Carpobrotus%20virescens.jpg
m11,Pisolithus,Dog Poo Fungus,Noomar,bush_medicine,y,y,y,y,y,y,y,y,y,y,y,y,Spores from broken up fruits used on wounds and sores to prevent infection.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Pisolithus.jpg
m12,Solanum lasiophyllum,Flannel Bush,Grun Grun,bush_medicine,y,y,y,n,n,n,y,y,y,y,y,y,Roots crushed and boiled used a poultices on swollen legs.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Solanum%20lasiophyllum.jpg
m13,Kunzea preissiana,Glowing Kunzea,Kondill,bush_medicine,n,n,y,y,n,y,y,y,y,y,y,y,"Leaves and flowers crushed into poultices to treat arthritis and flu pains.
Poultices applied to head to treat stress and anxiety.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Kunzea%20preissiana.jpg
