species_id,species_name,common_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
w1,Acacia saligna,Golden Wreath Wattle,wildflower,y,y,y,y,y,y,n,n,n,y,y,y,"Dense, weeping shrub or tree to 6m. Floriferous yellow flowers Jul-Nov.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Acacia%20saligna.jpg
w2,Acacia sessilis,,wildflower,y,y,y,y,n,n,n,n,n,y,y,y,Diffuse spiny shrub to 0.3-1m. New shoots minutely woolly. Masses of yellow flowers Jul-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Acacia%20sessilis.jpg
w3,Acacia spathulifolia,,wildflower,y,n,n,n,n,n,n,n,n,y,y,y,"Dense, spreading shrub to 0.5-3m. Masses of ball-shaped yellow flowers Jun-Oct.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Acacia%20spathulifolia.jpg
w4,Acacia willdenowiana,Grass Wattle,wildflower,y,y,y,y,y,y,n,n,n,y,y,n,Erect or scrambling shrub to 60cm. Cream to white flowers Jun-Sep.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Acacia%20willdenowiana.jpg
w5,Adenanthos cuneatus,Coastal Jugflower,wildflower,n,n,n,n,y,y,y,n,n,n,y,y,Beautiful red tinged leaved spreading groundcover to 30cm x 2m. Red-pink flowers Sep-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Adenanthos%20cuneatus.jpg
w6,Adenanthos linearis,,wildflower,n,n,n,n,n,y,y,y,n,n,n,n,Prostrate spreading shrub to 60cm. Unique white and red flowers Jan-Mar.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Adenanthos%20linearis.jpg
w7,Adenanthos pungens subsp. effusus,,wildflower,n,n,n,n,n,y,n,n,n,n,y,y,Low spreading spiky shrub to 0.5m x 2m. Attractive pink flowers Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Adenanthos%20pungens.jpg
w8,Allocasuarina campestris,,wildflower,y,y,y,y,n,y,n,n,n,n,y,y,Upright shrub to 3m. Dense green pine-like foliage with female plants having red flowers Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Allocasuarina%20campestris.jpg
w9,Allocasuarina fraseriana,Western Sheoak,wildflower,y,y,y,y,y,y,n,n,y,y,y,y,Slow growing upright tree to 5-15m. Small brown flowers May-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Allocasuarina%20fraseriana.jpg
w10,Allocasuarina humilis,Dwarf Sheoak,wildflower,y,y,y,y,y,y,n,n,y,y,y,y,Local spreading shrub to 1.2m. Spikes of red flowers along stem May-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Allocasuarina%20humilis.jpg
